generation;island;fitness;time
68;0;1832.0177171043451;26824
69;0;1831.3677322379037;27186
70;0;1831.3677322379037;27550
71;0;1832.0737324740242;27948
72;0;1831.3677322379037;28306
73;0;1831.3677322379037;28672
74;0;1816.860782837019;29032
75;0;1831.3677322379037;29393
76;0;1828.370087953629;29752
77;0;1828.4888383996395;30114
78;0;1828.4888383996395;30479
79;0;1831.3677322379037;30831
80;0;1828.4888383996395;31207
81;0;1830.0751755138592;31590
82;0;1789.5704674287035;31965
83;0;1828.3992388167321;32320
84;0;1820.3806347273726;32676
85;0;1828.7974179154373;33074
86;0;1828.6594129739792;33435
87;0;1828.7176775587343;33818
88;0;1826.1062948161732;34203
89;0;1822.2029094517347;34585
90;0;1822.2029094517347;34940
91;0;1826.7583722361612;35328
92;0;1826.7583722361612;35692
93;0;1825.2826573504763;36068
94;0;1825.2826573504763;36447
95;0;1828.8960181155694;36808
96;0;1821.1348256657197;37156
97;0;1821.5329688260151;37534
98;0;1821.5329688260151;37904
99;0;1821.5329688260151;38294
100;0;1821.4764634108863;38669
101;0;1819.944228222625;39040
102;0;1819.8336126716522;39416
103;0;1819.819515279769;39788
104;0;1819.819515279769;40123
105;0;1819.8336126716522;40487
106;0;1819.739338981456;40874
107;0;1813.3354864353144;41260
108;0;1813.3354864353144;41632
109;0;1819.9090704900846;42003
110;0;1819.756891314331;42383
111;0;1818.454128353735;42775
112;0;1818.454128353735;43139
113;0;1818.699543598774;43530
114;0;1818.699543598774;43911
115;0;1819.8119063237014;44284
116;0;1819.8119063237014;44690
117;0;1819.7363181220512;45071
118;0;1778.5071014329862;45431
119;0;1814.886161384943;45811
120;0;1778.5071014329862;46193
121;0;1778.5071014329862;46581
122;0;1778.5071014329862;46962
123;0;1816.3156713390522;47335
124;0;1778.5071014329862;47695
125;0;1778.5071014329862;48084
126;0;1778.5071014329862;48448
127;0;1778.5071014329862;48830
128;0;1772.7321462306982;49217
129;0;1778.5071014329862;49603
130;0;1768.167255885537;49976
131;0;1778.5071014329862;50365
132;0;1778.5071014329862;50734
133;0;1764.819883485959;51119
134;0;1760.8702369996065;51488
135;0;1773.980716270547;51885
136;0;1765.1214983332356;52266
137;0;1773.6869974230685;52649
138;0;1726.1553936338735;53017
139;0;1757.437337299316;53398
140;0;1757.437337299316;53771
141;0;1761.1185350291519;54165
142;0;1739.7198310408173;54554
143;0;1749.7912437985392;54923
144;0;1749.7912437985392;55307
145;0;1746.4737231478823;55676
146;0;1746.4737231478823;56060
147;0;1747.8027642711538;56440
148;0;1747.8027642711538;56826
149;0;1735.8133775925387;57192
150;0;1735.8133775925387;57567
151;0;1723.3448751849892;57950
152;0;1723.3448751849892;58346
153;0;1723.3448751849892;58727
154;0;1723.3448751849892;59120
155;0;1749.4503278816203;59502
156;0;1741.3467586555437;59880
157;0;1730.8845004735563;60248
158;0;1730.8845004735563;60626
159;0;1730.8845004735563;60993
160;0;1730.8845004735563;61372
161;0;1741.315312644071;61754
162;0;1732.5885970827842;62147
163;0;1740.3814280433573;62539
164;0;1739.8704274636787;62922
165;0;1730.8845004735563;63317
166;0;1730.8845004735563;63689
167;0;1740.6742141689253;64072
168;0;1730.9144453134616;64445
169;0;1727.648558351325;64829
170;0;1723.3448751849892;65211
171;0;1748.2618449467045;65592
172;0;1723.3448751849892;65945
173;0;1745.8034210936125;66337
174;0;1733.8970471335192;66708
175;0;1749.328067610574;67104
176;0;1733.0772052631748;67497
177;0;1749.3004202556656;67879
178;0;1735.14452676648;68248
179;0;1738.131966851892;68643
180;0;1738.131966851892;69011
181;0;1749.0458758354716;69369
182;0;1724.497753999549;69729
183;0;1724.497753999549;70095
184;0;1724.497753999549;70493
185;0;1724.48789887241;70861
186;0;1724.3548192717067;71229
187;0;1724.3557608171704;71620
188;0;1721.6180757896225;72013
189;0;1721.2233726436175;72401
190;0;1721.2233726436175;72803
191;0;1720.56191688138;73199
192;0;1720.56191688138;73582
193;0;1721.856716663548;73964
194;0;1720.5340664629725;74334
195;0;1719.2602995869395;74710
196;0;1719.2602995869395;75082
197;0;1720.56191688138;75473
198;0;1720.56191688138;75823
199;0;1720.56191688138;76197
200;0;1720.56191688138;76555
201;0;1720.56191688138;76943
202;0;1720.56191688138;77331
203;0;1720.56191688138;77717
204;0;1720.56191688138;78098
205;0;1722.1207820367672;78483
206;0;1720.56191688138;78822
207;0;1720.56191688138;79204
208;0;1719.4623357565117;79595
209;0;1722.5251295598807;79967
210;0;1721.3993774439014;80327
211;0;1721.5617672006356;80708
212;0;1720.23919606506;81079
213;0;1719.3331662927571;81452
214;0;1719.3331662927571;81819
215;0;1719.328064014442;82202
216;0;1719.328064014442;82610
217;0;1719.328064014442;82989
218;0;1719.328064014442;83371
219;0;1721.583716843365;83746
220;0;1720.430671359899;84124
221;0;1717.3458620252313;84489
222;0;1717.3458620252313;84890
223;0;1719.378140532864;85273
224;0;1719.378140532864;85658
225;0;1718.621758053799;86029
226;0;1718.621758053799;86409
227;0;1720.25073975243;86795
228;0;1720.25073975243;87173
229;0;1721.7644896523275;87525
230;0;1720.3792471529484;87918
231;0;1720.5213110992038;88284
232;0;1719.7967252447324;88662
233;0;1719.7967252447324;89022
234;0;1718.2919729771497;89412
235;0;1720.236479341777;89771
236;0;1720.236479341777;90141
237;0;1719.7967252447324;90515
238;0;1719.400225823858;90906
239;0;1720.044878013944;91293
240;0;1719.478349609606;91678
241;0;1718.31355013089;92055
242;0;1718.31355013089;92445
243;0;1719.3739896149382;92834
244;0;1719.3739896149382;93210
245;0;1720.1998384684018;93591
246;0;1719.3739896149382;93962
247;0;1720.5186097013957;94342
248;0;1719.987078305887;94694
249;0;1718.071654226388;95081
250;0;1718.071654226388;95448
251;0;1717.1256868139772;96001
252;0;1719.3514108422996;96669
253;0;1717.337519032568;97192
254;0;1718.2580979136683;97711
255;0;1717.1873369496213;98084
256;0;1717.036218327105;98689
257;0;1717.1873369496213;99327
258;0;1716.9224036978642;99869
259;0;1718.768526783421;100397
260;0;1717.0434493794603;100926
261;0;1719.7967252447324;101469
262;0;1720.085737805757;102098
263;0;1718.8796407431994;102624
264;0;1718.8796407431994;103183
265;0;1717.4521195972125;103733
266;0;1717.4521195972125;104236
267;0;1712.6794830543606;104742
268;0;1720.2060873464804;105196
269;0;1718.8342252578461;105593
270;0;1720.4747066036953;106142
271;0;1720.4747066036953;106575
272;0;1718.9084847700099;107074
273;0;1719.28982417006;107624
274;0;1719.7967252447324;108008
275;0;1719.3997301717204;108535
276;0;1719.7967252447324;109042
277;0;1719.7967252447324;109500
278;0;1719.5153487730513;110038
279;0;1719.6596172283816;110588
280;0;1718.9855317042588;111132
281;0;1719.7996191445234;111644
282;0;1719.1789585167062;112229
283;0;1718.8868624935553;112766
284;0;1719.4868719984058;113338
285;0;1719.3308393527395;113886
286;0;1718.7252918484492;114441
287;0;1718.5691427252943;114995
288;0;1719.2135396790927;115481
289;0;1719.2135396790927;116021
290;0;1719.1248649108638;116568
291;0;1719.197025732012;117098
292;0;1720.3567041853478;117540
293;0;1719.1248649108638;118077
294;0;1719.267479796038;118715
295;0;1719.9722953836038;119117
296;0;1719.267479796038;119595
297;0;1718.6343973800329;120101
298;0;1719.204897085258;120569
299;0;1719.2161534084105;121061
300;0;1719.2161534084105;121657
301;0;1719.2135396790927;122193
302;0;1719.2161534084105;122628
303;0;1719.4321033847905;123191
304;0;1718.8173010085943;123754
305;0;1719.3979911222839;124266
306;0;1720.4847185673516;124825
307;0;1718.9538954450709;125354
308;0;1719.0070246525063;125727
309;0;1720.4803332910099;126129
310;0;1719.3370394172327;126618
311;0;1720.4803332910099;127060
312;0;1719.2611356404645;127511
313;0;1718.355204597091;128017
314;0;1718.929128402834;128439
315;0;1719.6250815920412;128833
316;0;1719.4137085466134;129366
317;0;1719.3496489195018;129776
318;0;1718.8565811939695;130270
319;0;1719.3496489195018;130661
320;0;1719.995722054328;131198
321;0;1719.7797900342175;131583
322;0;1718.8207604654315;132015
323;0;1720.062310168212;132536
324;0;1719.5802151122743;133082
325;0;1718.2637317205765;133591
326;0;1718.708222095521;134136
327;0;1718.4497645946283;134650
328;0;1718.2637317205765;135128
329;0;1718.367283366328;135685
330;0;1718.582218766089;136344
331;0;1718.8565811939695;136743
332;0;1720.49108290985;137223
333;0;1720.343349662302;137680
334;0;1718.9269452820433;138234
335;0;1719.005236484905;138819
336;0;1718.9269452820433;139428
337;0;1719.3496489195018;139973
338;0;1718.7110964032734;140529
339;0;1718.5056809180505;141094
340;0;1718.7834461592379;141636
341;0;1718.5056809180505;142096
342;0;1719.9260814460367;142485
343;0;1720.4795052999907;143022
344;0;1718.936592406115;143593
345;0;1718.912342627044;144114
346;0;1719.0249938901106;144672
347;0;1718.355204597091;145265
348;0;1718.9557769572777;145846
349;0;1719.7104600392393;146314
350;0;1712.6738501908064;146741
351;0;1719.4812510969912;147203
352;0;1719.6639755116416;147661
353;0;1718.8565811939695;148229
354;0;1719.3800315438955;148697
355;0;1718.8565811939695;149273
356;0;1719.1735403007713;149785
357;0;1717.7113170315033;150257
358;0;1719.1878080324543;150737
359;0;1718.2832389129471;151112
360;0;1718.5344451645194;151520
361;0;1719.1562364760355;151893
362;0;1719.1589755389903;152390
363;0;1720.7964333744976;153025
364;0;1719.1562364760355;153467
365;0;1719.1589810268536;154035
366;0;1717.664879501926;154491
367;0;1719.1588962533235;155065
368;0;1717.7113170315033;155686
369;0;1718.986131549216;156330
370;0;1718.7358579688;156930
371;0;1717.6875629845888;157428
372;0;1719.5075230892014;157820
373;0;1717.6875629845888;158386
374;0;1718.9557769572777;158916
375;0;1719.44556789871;159495
376;0;1717.5143543832799;159946
377;0;1717.5143543832799;160457
378;0;1719.0529417644389;160885
379;0;1720.0612546749448;161270
380;0;1718.4912821262178;161772
381;0;1719.7252486605048;162315
382;0;1717.8390224382788;162814
383;0;1718.4912821262178;163330
384;0;1720.7964333744976;163820
385;0;1718.8098197648706;164205
386;0;1717.1432801969127;164747
387;0;1718.4912821262178;165228
388;0;1718.1864149832802;165761
389;0;1718.8007248829897;166310
390;0;1718.0264743204289;166857
391;0;1718.8114770933232;167317
392;0;1718.8172184839439;167884
393;0;1718.8066878663083;168442
394;0;1714.6469862681683;168988
395;0;1715.7086503367514;169513
396;0;1719.0440424611018;170079
397;0;1718.9478869952466;170499
398;0;1718.9557769572777;171106
399;0;1718.9557769572777;171703
400;0;1718.9557769572777;172291
401;0;1719.046814960313;172903
402;0;1718.9966853340977;173465
403;0;1719.526139909901;173952
404;0;1718.8091168127914;174496
405;0;1718.9966853340977;174992
406;0;1720.4314627353617;175450
407;0;1720.4322726387866;175941
408;0;1721.1584200275727;176408
409;0;1720.5607692098054;176792
410;0;1720.4322726387866;177218
411;0;1718.9557769572777;177739
412;0;1718.9557769572777;178264
413;0;1719.9491929300405;178737
414;0;1720.4322726387866;179233
415;0;1720.2398631110395;179822
416;0;1720.2398631110395;180395
417;0;1720.5049533305573;180965
418;0;1721.6365594644192;181482
419;0;1719.030375311873;182089
420;0;1718.9557769572777;182608
421;0;1719.030375311873;183126
422;0;1718.9557769572777;183635
423;0;1718.426451939775;184070
424;0;1719.6618509365162;184577
425;0;1714.7906612600452;185092
426;0;1719.5722957471876;185466
427;0;1718.426451939775;185900
428;0;1719.9081282348043;186425
429;0;1720.3537025253752;186987
430;0;1718.9828035562098;187542
431;0;1718.9828035562098;187955
432;0;1719.6536902098665;188446
433;0;1719.4544122716122;188899
434;0;1719.4071039408975;189431
435;0;1719.2461292996547;189892
436;0;1720.009103974321;190353
437;0;1719.0337518616718;190881
438;0;1719.0337518616718;191438
439;0;1718.3295559945377;191917
440;0;1719.0337518616718;192465
441;0;1719.6618509365162;192906
442;0;1719.4544122716122;193435
443;0;1719.422349253539;193916
444;0;1719.422349253539;194455
445;0;1719.5815354481422;194975
446;0;1720.364711441864;195495
447;0;1719.3524410330524;196028
448;0;1719.9115400189512;196592
449;0;1718.9600037580997;197085
