generation;fitness
148;1851,37512099
149;1847,15025186
150;1852,10488345
151;1847,97732129
152;1854,28746878
153;1846,19157999
154;1844,77978559
155;1849,55512049
156;1846,75585640
157;1848,74536711
158;1849,60434002
159;1848,53425374
160;1848,55018532
161;1848,06539769
162;1848,20816155
163;1847,29161856
164;1849,79623133
165;1845,86089860
166;1846,87152686
167;1843,96183806
168;1846,22425310
169;1844,67666019
170;1844,97483405
171;1844,00922044
172;1845,78947104
173;1842,70820646
174;1844,05980101
175;1841,68609240
176;1846,84224428
177;1842,40454233
178;1845,66586538
179;1840,73958655
180;1847,52915825
181;1839,27847644
182;1844,11536802
183;1839,22035022
184;1844,95471642
185;1834,63110831
186;1845,02588154
187;1835,56576714
188;1846,30317297
189;1834,21256069
190;1844,53295916
191;1837,21678924
192;1841,64630056
193;1835,37274916
194;1845,00407515
195;1833,05853648
196;1844,29257119
197;1835,31040108
198;1841,57547278
199;1834,31768667
200;1842,91560009
201;1834,07564100
202;1842,51171747
203;1832,39111207
204;1841,15663662
205;1833,86415750
206;1840,46277922
207;1831,19936639
208;1840,93622233
209;1834,51499129
210;1841,98790814
211;1832,77085699
212;1842,11005012
213;1833,68359059
214;1839,04635811
215;1833,31629062
216;1838,51797123
217;1832,28988984
218;1837,65073029
219;1831,65606942
220;1840,03224125
221;1831,50971942
222;1843,70994395
223;1831,02805963
224;1840,32865486
225;1830,24882879
226;1840,83149326
227;1831,10678570
228;1841,68039329
229;1828,23516688
230;1840,47104554
231;1830,27882796
232;1842,60560335
233;1829,46186343
234;1842,70101604
235;1830,66234837
236;1840,11222941
237;1828,90074675
238;1839,88336314
239;1829,71134630
240;1839,00479260
241;1829,47117787
242;1840,23337930
243;1828,99030021
244;1840,40628038
245;1828,30754712
246;1835,95523036
247;1829,12038942
248;1837,66128240
249;1829,96622702
250;1838,81349474
251;1849,74373327
252;1849,14532457
253;1848,44796376
254;1847,97742605
255;1847,33190413
256;1846,22599681
257;1845,68543025
258;1845,05429900
259;1844,29509623
260;1843,69220640
261;1843,25952723
262;1842,96422629
263;1842,61632783
264;1841,26857116
265;1839,97647203
266;1839,82190234
267;1839,42410036
268;1838,87795779
269;1838,31468181
270;1837,97441233
271;1837,54327440
272;1837,28857917
273;1836,79077228
274;1836,34383403
275;1836,29558966
276;1836,15319614
277;1835,94817472
278;1835,44976987
279;1834,70136226
280;1834,30856645
281;1833,81393705
282;1833,51133875
283;1833,35727352
284;1833,29351724
285;1833,22350091
286;1833,07223450
287;1832,97519445
288;1832,95056979
289;1832,83576847
290;1832,14097927
291;1832,04791680
292;1831,69055258
293;1831,55345355
294;1831,09889124
295;1831,05787279
296;1830,99259690
297;1830,62104903
298;1830,52105923
299;1830,19868699
300;1829,88634437
301;1829,54142500
302;1829,41474925
303;1829,21144014
304;1829,15603675
305;1829,07629464
306;1828,96687852
307;1827,86876857
308;1827,76064885
309;1827,57498769
310;1826,93707132
311;1826,59112099
312;1825,55406217
313;1825,50015590
314;1825,49671174
315;1825,06278511
316;1824,83198238
317;1824,80374620
318;1824,77720655
319;1824,61720856
320;1824,61720856
321;1824,60289760
322;1824,46041422
323;1824,23205968
324;1823,83709699
325;1823,35009783
326;1823,30962039
327;1823,05598281
328;1822,79880788
329;1821,47674883
330;1821,23231692
331;1820,92797790
332;1820,63557403
333;1820,59264334
334;1820,39190880
335;1820,00711471
336;1819,92186464
337;1819,66070878
338;1819,59809897
339;1819,53888665
340;1819,40426368
341;1819,17087209
342;1818,95660747
343;1818,91708547
344;1818,61192910
345;1818,40931844
346;1817,71046304
347;1817,55450957
348;1817,54066294
349;1816,98160748
350;1816,90920589
351;1816,68879256
352;1816,59170094
353;1816,49722898
354;1815,28659475
355;1815,28659475
356;1815,10616010
357;1815,08199619
358;1815,06196375
359;1814,56712819
360;1814,42771671
361;1814,34690594
362;1814,10073038
363;1813,91176433
364;1813,90661771
365;1813,74327081
366;1813,56752157
367;1813,51123791
368;1813,42412032
369;1813,31844339
370;1813,25163697
371;1813,23704867
372;1813,17389612
373;1813,00938594
374;1812,80367204
375;1812,73483507
376;1812,70899950
377;1812,37534716
378;1812,32854878
379;1812,17815676
380;1811,86142920
381;1811,51986013
382;1811,47859245
383;1811,42931164
384;1811,41033796
385;1811,34698583
386;1810,90103104
387;1810,71922517
388;1810,70937279
389;1810,56627783
390;1810,48613901
391;1810,48608014
392;1809,98816749
393;1809,82763639
394;1809,80057375
395;1809,58323180
396;1809,54469341
397;1808,93081792
398;1808,59436213
399;1808,29865730
